Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1326,René-Lévesque,Saint-Jean-Baptiste,Rivières-des-Prairies - Pointe-aux-Trembles,304766.32,5055747.33,-73.5004320491925,45.6416216528908
1327,3 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305368.94,5055018.46,-73.4927024527521,45.6350628907945
1328,8 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305499.39,5055372.63,-73.4910287185313,45.6382496707964
1329,16 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305596.79,5055948.13,-73.4897783984729,45.6434280369201
1330,26 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305623.16,5056911.28,-73.4894384829691,45.652094623583
1331,32 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305472.14,5057317.95,-73.4913755765376,45.6557540807945
1332,43 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305279.8,5058189.03,-73.4938426878337,45.6635923771696
1333,53 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305263.78,5058952.09,-73.4940475460983,45.6704585322536
1334,57 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305316.04,5059245.16,-73.4933764962463,45.6730955870396
1335,81 e Avenue,Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305622.51,5061016.34,-73.4894398786547,45.689032631855
1336,Notre-Dame,13926 Est (C.L.S.C.),Rivières-des-Prairies - Pointe-aux-Trembles,305237.28,5058502.5,-73.4943880685984,45.6664130628716
1337,Notre-Dame,Saint-Jean-Baptiste,Rivières-des-Prairies - Pointe-aux-Trembles,305560.31,5055561.12,-73.4902469855149,45.6399456802805
1338,18 e Avenue,Provost,Lachine,290698.64,5033572.23,-73.6802539303726,45.4419397000096
1339,Notre-Dame,Tricentenaire,Rivières-des-Prairies - Pointe-aux-Trembles,305739.93,5056575.11,-73.487940919976,45.6490695514928
1340,Montigny,Saint-Jean-Baptiste,Rivières-des-Prairies - Pointe-aux-Trembles,304299.29,5055856.37,-73.5064232519789,45.6426026379812
1341,Allard,Dumas,Sud-Ouest,297168.29,5034498.66,-73.5975686590156,45.450376753572
1342,Allard,Laurendeau,Sud-Ouest,297797.32,5034620.02,-73.5895284754686,45.4514753977826
1343,Allard,Monk,Sud-Ouest,297505.25,5034586.12,-73.5932620499034,45.4511673609066
1344,Biencourt,Monk,Sud-Ouest,297282.96,5035433.07,-73.5961169291011,45.4587862793973
