,stop_id,stop_code,stop_name,stop_url,wheelchair,route_id,loc_type,service_id,geometry
277,50180,50180,Gouin / Filion,http://m.stm.info/fr/horaires/arrets/50180/bus,1,69,0,20S,POINT (288357.8634982501 5044311.866556962)
278,50181,50181,Gouin / Filion,http://m.stm.info/fr/horaires/arrets/50181/bus,1,69,0,20S,POINT (288363.5284458817 5044298.071342408)
279,50182,50182,de Louisbourg / Ranger,http://m.stm.info/fr/horaires/arrets/50182/bus,1,"164,170",0,20S,POINT (288346.482416019 5042801.726290224)
280,50183,50183,Grenet / de Louisbourg,http://m.stm.info/fr/horaires/arrets/50183/bus,1,"64,382",0,20S,POINT (288424.8639778764 5042873.423363972)
281,50184,50184,Grenet / de Louisbourg,http://m.stm.info/fr/horaires/arrets/50184/bus,1,"64,382",0,20S,POINT (288393.8788404738 5042883.617317749)
282,50185,50185,de Louisbourg / Grenet,http://m.stm.info/fr/horaires/arrets/50185/bus,1,"164,170",0,20S,POINT (288400.9358503912 5042863.928555123)
283,50186,50186,de Louisbourg / Grenet,http://m.stm.info/fr/horaires/arrets/50186/bus,1,164,0,20S,POINT (288375.9134570816 5042854.214439233)
284,50187,50187,Gouin / Bohlé,http://m.stm.info/fr/horaires/arrets/50187/bus,1,69,0,20S,POINT (288514.0265656105 5044510.051728886)
285,50188,50188,Gouin / Bohlé,http://m.stm.info/fr/horaires/arrets/50188/bus,1,69,0,20S,POINT (288509.1214652955 5044485.726574754)
286,50189,50189,De Salaberry / Saint-Évariste,http://m.stm.info/fr/horaires/arrets/50189/bus,1,"180,365",0,20S,POINT (288536.4834659604 5043533.255409547)
287,50190,50190,De Salaberry / Saint-Évariste,http://m.stm.info/fr/horaires/arrets/50190/bus,1,"180,365",0,20S,POINT (288532.9689403867 5043503.25894388)
288,50191,50191,Gare Bois-Franc (Grenet / Ranger),http://m.stm.info/fr/horaires/arrets/50191/bus,1,"64,171,382,964",0,20S,POINT (288553.3756907321 5042757.401114475)
289,50192,50192,Grenet / Ranger,http://m.stm.info/fr/horaires/arrets/50192/bus,1,"64,170,382",0,20S,POINT (288516.697680061 5042771.609943242)
290,50193,50193,Dudemaine / Grenet,http://m.stm.info/fr/horaires/arrets/50193/bus,1,164,0,20S,POINT (288581.3220651202 5042749.882971134)
291,50194,50194,Dudemaine / Grenet,http://m.stm.info/fr/horaires/arrets/50194/bus,1,164,0,20S,POINT (288568.5001578124 5042775.920943186)
292,50195,50195,O'Brien / De Salaberry,http://m.stm.info/fr/horaires/arrets/50195/bus,1,117,0,20S,POINT (288649.9764696623 5043625.534870622)
293,50196,50196,De Salaberry / O'Brien,http://m.stm.info/fr/horaires/arrets/50196/bus,1,"180,365",0,20S,POINT (288641.2905136666 5043649.561714563)
294,50197,50197,O'Brien / De Salaberry,http://m.stm.info/fr/horaires/arrets/50197/bus,1,117,0,20S,POINT (288617.1979876466 5043635.621237393)
295,50198,50198,De Salaberry / O'Brien,http://m.stm.info/fr/horaires/arrets/50198/bus,1,"180,365",0,20S,POINT (288630.5713555544 5043612.026798985)
296,50199,50199,Gouin / De Poutrincourt,http://m.stm.info/fr/horaires/arrets/50199/bus,1,69,0,20S,POINT (288680.3836230498 5044667.651409683)
297,50200,50200,Gouin / De Poutrincourt,http://m.stm.info/fr/horaires/arrets/50200/bus,1,69,0,20S,POINT (288664.2287779782 5044641.354694542)
298,50201,50201,Dudemaine / Michel-Sarrazin,http://m.stm.info/fr/horaires/arrets/50201/bus,1,164,0,20S,POINT (288717.7961182485 5042812.320950718)
299,50202,50202,Dudemaine / Michel-Sarrazin,http://m.stm.info/fr/horaires/arrets/50202/bus,1,164,0,20S,POINT (288704.0719915255 5042791.35227388)
300,50203,50203,De Salaberry / Guertin,http://m.stm.info/fr/horaires/arrets/50203/bus,1,"180,365",0,20S,POINT (288797.0071589579 5043822.972520336)
301,50204,50204,De Salaberry / Guertin,http://m.stm.info/fr/horaires/arrets/50204/bus,1,"180,365",0,20S,POINT (288787.7768778121 5043786.878245744)
302,50205,50205,Gouin / René-Guénette,http://m.stm.info/fr/horaires/arrets/50205/bus,1,69,0,20S,POINT (288794.1272980651 5044744.596674423)
303,50206,50206,Gouin / Taylor,http://m.stm.info/fr/horaires/arrets/50206/bus,1,69,0,20S,POINT (288815.910013877 5044742.651849532)
304,50207,50207,Dudemaine / Robert-Giffard,http://m.stm.info/fr/horaires/arrets/50207/bus,1,164,0,20S,POINT (288881.3092959456 5042941.816723069)
305,50208,50208,Dudemaine / Robert-Giffard,http://m.stm.info/fr/horaires/arrets/50208/bus,1,164,0,20S,POINT (288876.7952951608 5042917.601481811)
